,asin,title,brand
57,0594450268,"Nook Hd + 9-Inch Groovy Protective Stand Cover, Storm Gray",Nook
58,0594287995,Kate Spade Rain or Shine Magazine Cover for Nook Simple Touch,Barnes & Noble
59,0594017343,Barnes Noble Nook Simple Touch Reader BRNV300+Lewis Cover,Barnes and Noble
60,0594450209,"Barnes &amp; Noble 7"" Lautner Chocolate NOOK Case",Barnes &amp; Noble
61,0594033926,Barnes &amp; Noble Dessin Leather Cover for Nook Color &amp; Nook Tablet Digital Reader  - Noir,Barnes &amp; Noble
62,0594015421,Adjustable Reading Stand for Nook Color,Barnes &amp; Noble
63,0594296420,Barnes &amp; Noble Power Adapter for Nook Simple Touch,Barnes &amp; Noble
64,0594467942,Nook Anti-Glare Screen Protector Kit Genuine Barnes and Noble,Barnes & Noble
65,0594450659,"AntiGlare Screen Film Kit for NOOK HD Anti-glare screen protection 7""",Barnes &amp; Noble
66,0594459451,Barnes &amp; Noble Nook Color Tablet USB Cable Charger Newest Re-enforced Version,Barnes &amp; Noble
67,0594467977,NOOK GlowLight Cover - Grey,Barnes and Noble
68,0594467926,Barnes and Noble 2-Way Cover Stand for Smasung Galaxy Tab 4 - Violet (54495),Barnes & Noble
69,0594482097,NOOK HD 7 inch Protective 360 Stand Cover Red,Nook
70,0594478162,Official Nook Audio Ie250 Earphones,Nook
71,0594484561,Lilly Pulitzer Nook Case,Lilly Pulitzer
72,0594481902,Barnes &amp; Noble OV/HB Universal Power Kit for Nook HD &amp; HD+,Barnes &amp; Noble
73,0594479428,Hot Pink Nook 1st Edition Cover,Barnes &amp; Noble
74,059446790X,2-way Cover Stand - Pink - For Samsung Galaxy Tab 4 nook,Barnes &amp; Noble
75,0594484537,Lautner Metallic Cover for Barnes &amp; Noble Nook HD in Vine Color 9780594484530,Barnes &amp; Noble
76,0594484332,Groovy Stand For Barnes &amp; Noble Nook HD in Orange 9780594484332,Barnes & Noble
77,0594450306,"Barnes &amp; Noble Nook HD+ Seaton Cover, Violet",Barnes &amp; Noble
78,0594481953,Hd+ Screen Protector Kit- Nook,Nook
79,0594202442,Barnes &amp; Noble Nook Tablet Horizontal Stand Cover in Red,Barnes &amp; Noble
80,059449771X,Barnes &amp; Noble Replacement Charging Sync Cable for Nook HD and HD+ (5 Feet),Barnes & Noble
81,0594513170,Nook HD 7&quot; Lautner Cover Chocolate Fits 7&quot; Nook HD Brand New,Nook
82,0594482127,NOOK HD 7 inch Protective 360 Stand Cover Black,Nook
83,059451343X,Barnes &amp; Noble Jonathan Adler Scales Cover Nook HD Protective Cover,HD
84,0594451647,Barnes &amp; Noble HDTV Adapter Kit for NOOK HD and NOOK HD+,Barnes &amp; Noble
85,059448426X,Composition Cover For Barnes &amp; Noble Nook HD+ in Black 9780594484264,Barnes &amp; Noble
86,0594450705,Nook Vara Stylus 2-in-1,Nook
87,059451472X,Barnes &amp; Noble NOOK Color Montgomery Protective Cover Petal (Pink),Barnes &amp; Noble
88,0594515157,"Barnes &amp; Noble FITS 9"" TABLET / E-READER NOOK HD+ CHEETAH PRINT COVER",Barnes &amp; Noble
89,0594515939,nook Charging Dock,Nook
90,0594514789,Nook Vara Stylus: Pink,Barnes &amp; Noble
91,0594549531,Barnes &amp; Noble Groovy Stand Book Reader Cover Hd - Orange- Barnes And Noble,Barnes &amp; Noble
92,0594514851,"Barnes &amp; Noble Nook Oliver Cover, Black",Barnes and Noble
93,0594513294,NOOK HD Austen Quote Cover in Ocean,NOOK
94,0594549507,Groovy Protective Stand Cover: Custom Designed for 7-inch NOOK HD: Vine Color,Barnes & Noble
95,0594477670,Barnes &amp; Noble NOOK Color &amp; Tablet Anti-Glare Screen Protector Film Kit,Barnes &amp; Noble
96,0594545811,Barnes &amp; Noble Nook HD Groovy Stand in Violet 9780594545811,Nook
97,0594514681,Hd Groovy Stand In Blue- Nook,Nook
98,0594513448,Jonathan Adler Peacock Cover in Purple Hd,Barnes &amp; Noble
99,0594513189,NOOK HD 7&quot; Cover - Lautner Cover (Dark Fuchsia),Nook
