,overall,vote,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime
10,5,,True,2016-09-03,A1CGJVDE638R1C,0594296420,,Estabot MK.3000,"I would like to say this product works just fine, but I'm not 100% sure. Purchased this to replace the 1st Gen Nook charger for an equally old (surprise) 1st Gen Nook. The Nook itself required a battery replacement as the original had somehow become swollen and useless. So I swapped out the battery and used this to charge the Nook, which seemed to work as the screen went blank after being stuck on the ""low charge"" display. Unfortunately, the Nook didn't seem to hold a charge anymore. Or something else went wrong.
In any case, this item worked as described. I think it's just the Nook is dead.",I would like to say this product works just fine,1472860800
11,3,,True,2016-03-30,A3V4DTR6Z66SF2,0594296420,,Bradley,"Purchased for my mother since she lost her original charger.  She wanted another OEM adapter, so I was glad to find one even if equally serviceable usb adapters can be had for cheaper.  Works fine, just overpriced.",Exactly as expected,1459296000
12,5,,True,2016-02-10,A11NQRQHMYW5N,0594296420,,BenE,I used this to replace the charger my Nook HD+ came with. The original adapter made this annoying high pitched sound when plugged into a power source. This new one makes no noise and works just fine so I'm happy with it.,Works fine as a replacement for the original.,1455062400
13,5,,True,2016-09-15,A3P57SQBZAEZFG,059449771X,,F Kukura,"I have a Nook HD+.  As they are no longer produced I wanted to make sure I got an extra original charger and cable.  Glad I did as some OEM supplied cables, like this, just can't be replicated.  The quality of cable, especially Nook connector, are perfect.",Glad I bought a spare!,1473897600
14,3,,True,2016-08-31,A3A84C8X530RHK,059449771X,,Dana Serrano,Since we still have original Nooks we thought we still had a need for these chargers.  We found Nook chargers to be very delicate and not long lasting but they did charge the Nook quickly.  Now we use a regular charger and just let the Nooks charge over-night when we want to use them.  Only three stars since I would buy another one depending on the need and for quick charging.  Minus two stars for being too delicate.,Since we still have original Nooks we thought we still ...,1472601600
15,5,,True,2016-05-18,APIQOJU6IIIQG,059449771X,,sharont,"I was skeptical of ordering these chargers as replacements, but the reviews were so positive I decided to give them a try.  They came days earlier than they were expected (an added treat) and immediately began charging the Nook.  I couldn't be happier.  As of this writing, if there were 10 stars to give, I would gladly give them.",Don't hesitate to buy!!,1463529600
16,5,,True,2017-01-10,A3472NC8JOKIW1,0594450268,,Joyce,"Fits a Nook HD+ perfectly and gave this tablet a new look!
Much prefer this type of plastic clip-on four corners case, rather than the velcroed pocket type of case that this one replaced.
Came in the original retail packaging.
Only downside: a bit heavier than the PU pleather velcroed case.",Fits a Nook HD+ perfectly and gave this tablet a ...,1484006400
17,5,,True,2017-06-29,A2IC3RIPB6HKSQ,073530498X,{'Format:': ' Spiral-bound'},Aine O&#039;brocken,Ended up using this as a birthday gift for one of my granddaughters. Just the right size for putting in some old photos--her mother when her mother was growing up. Pics of the granddaughter when she was a baby. Added a few such photos and then invited her to come over and look through old photos to see if she wants any others.,Nice!,1498694400
18,5,4.0,True,2017-02-18,A1JHNR71TPEETW,073530498X,{'Format:': ' Spiral-bound'},Amazon Customer,I bought this to display some vintage photos that my father had taken while overseas during the Korean War. I dissplay it side by side with the camera he used. Love it. Great quality for the very reasonable price! Exactly what I expected.,Great way to showcase vintage photos!,1487376000
19,5,2.0,True,2016-12-26,AU7SO8B4M5UBA,073530498X,{'Format:': ' Spiral-bound'},ruth,"Cute! Bought 2 for my daughter. I thought it was for instant camera photos because it was on the ""suggested items"" where I bought a instant camera case.  Oh well, she likes it so I'm ok with that.  They are nice.",They are nice.,1482710400
20,5,,True,2016-10-22,A1JXLTQ5VWPGGV,0764207474,{'Format:': ' Kindle Edition'},chb book addict,"This was a well developed story with characters that gave me clear feelings of sympathy, empathy, impatience and disdain. Mary Beth had a strong if rough beginning, when she finally remembered the grounding of faith she had been raised in, she tried to find her way back. When she finally got away from the environment she was living in, she was drawn back to the church and because of a prayer request from a lonely child she became involved in the life of her family.
This was n of what I expected, but definitely worth reading about. I have the rest of the series and will be reading it soon.",Restarting from the bottom,1477094400
21,5,,True,2017-11-18,A39KGSKV4C7LDV,0972683275,,Ken Mile-Hi,"I needed a television hanger with good extension. This did the job. I installed this in a closable TV cabinet that requires me to push the TV in and pull it out routinely. By loosing the nuts on the swinging parts a little, it now moves with very little effort. But the nuts are the kind that will hold their position, even when they are loosened so no worries of things coming apart. I have a 43 inch TV that it worked just fine on. Glad I bought this.",Glad I bought this.,1510963200
22,5,,False,2017-06-28,A2X38EKSY08GEB,0972683275,,Chase Chapman,"I have had this mount for about 4 years now and it has held up well. I love the fact that I can easily view my TV from almost any angle in my room. Whether I'm laying in bed, or at my computer desk this mount allows me to adjust the viewing angle to where I can see it perfectly. For the most part, I keep the mount completely retracted and it looks great. It is almost flush with only about an inch or two gap from the wall. I would highly recommend this mount to anyone looking for a versatile TV mount!",Perfect!,1498608000
23,5,,True,2017-05-23,A3EEKCGMZ2UQUE,0972683275,,Tukansam,This was easier that I thought to installed...even easier if you us a STUD finder to locate the beam where the you will need drill and attach the mount to the wall.  It came with many sets of screws to fit most TV systems.,Mount This!,1495497600
24,4,,True,2017-01-07,A2FVR7447FL4BL,0972683275,,PTT,"This mount is sturdy (I have a 32 inch LCD TV, it only weighs 11 lbs, but I'm pretty sure the mount weighs more...).  Installation was easy, all the parts and hardware that we needed (and didn't need!) were in the box.  We had it up in very little time.  It's great.  One person could hang it alone, but two makes it much easier.  It has multiple points that you can level the television, so it doesn't necessarily need to be perfectly level (the installation person for me got it right).  There is no list, and it holds position really well.","Sturdy, easy to install, great value",1483747200
25,5,,True,2016-12-04,A3LIH6KZZIJXSM,0972683275,,Josh,"Only issue so far is the hinges are firm, but that is probably by design (so the tv doesn't swing from where you want it). Overall a fantastic product - that 2' extension really gets it far from the wall and much closer to my desk (using a 40"" 4K tv as a computer monitor).",Easy to install & very secure,1480809600
26,5,2.0,True,2016-11-07,A2V9RJXMLQHVFE,0972683275,,Snowman,"I bought this mount for a 42 Vizio TV I inherited from my in-law to mount in my home office for computer and TV type use. I had a tight space between a desk and window to mount the TV so I wanted something that could move and this fit the bill. I was a little worried about the one stud mounting design but I made sure to find my stud properly in the wall with a stud finder and use a small nail to poke the wall to find the true edges of the board. Once I did that it was some measure to find where it would sit on the wall as far as TV height. Measure twice and drill once. I drilled the holes for the bracket on the wall starting with the top hole and using a level when marking the bottom hole. I put the lag bolt in the top hole first part way and then again used the level when putting the bottom bolt. Before tightening it down all the way I used the level one last time to get it level to my comfort level. Was done the bracket felt solid on the wall. I then mounted the bracket on the TV with fit perfect on the VESA mounts without using the extension arms that came in the kit. The kit was missing one bolt of the M8-15 bolts but luckily the M8-30 bolts fit into the bottom holes of my TV without being too long so I didn't have to contact Amazon about the missing bolt but was a little disappointed about that. Some quick screw driver work on the mount was on with the washers provided. I adjusted the tilt of the mount to face the TV down for my situation and realized I got it backwards once we lifted the TV but that was just an honest eyeball mistake. Some quick turns with the provided allen wrench to adjust the tilt and back on the wall it went. I tighten the one mounting bolt that holds it on and we are good to go. I adjusted the arm to where I wanted the TV and it felt was very solid. The articulating arms were a little stiff without the TV on their but once I put the 35lb TV on it moved fine, done want a loose swing mount. I didn't experience any sagging or off level issues. It is a two person job for heavy TVs to mount them but I did all the mount work on the wall and TV alone and only needed help with lifting the TV on to the wall when ready. Comes with an assortment of mounting bolts for the different TV holes, wrench, and allen wrench. You will need a drill and some drill bits for pilot holes. Good buy and would buy again.",Solid articulating TV Mount at a Great Cost,1478476800
27,5,,True,2016-06-13,A1I31TI6Q19J6J,0972683275,,Mr. Smile,"I wanted a really long extendable wall mount for my 47 inch flat screen LED tv so that I could view it from my bed and this mount got the job done.

This is one of the longest extendable wall mounts I was able to find anywhere. I can extend this 180 degrees for a full viewing experience of my TV from my bed which is positioned parrall to the mount.

A sturdy, quality mount at a fair price!",Perfect fit for my TV in my bedroom!,1465776000
28,5,2.0,True,2016-05-30,A2VORI4261A2QD,0972683275,,TheAmazonDudde,"I originally bought this for a Sony 40"" TV, but installed it with a Vizio 42"" instead. I did this because the Sony is an older model TV and weighs a little over 50lbs (which is still within this mounts rating) and the Vizio only weights 23lbs. I have a Sanus extended articulating mount that I bought a few years ago and paid over $100 dollars for it. (It now costs over $150) The Sanus is much stouter in construction than this VideoSecu mount is, so by reading some of the reviews on here and not knowing exactly how this mount was going to measure up pre-install, I swapped out TV's to match mounts accordingly.

Now that installation is complete, I'm sure this mount would handle either TV just fine. Is it the same quality as the Sanus? No, but it has enough quality to perform its advertised claims. I saw some reviews on here complaining about mount sag after install. Now this is based on the 23 lb TV, but I'm not experiencing this problem. The mount has 4 pivot points and after installation, ALL need to be tightened to the point that movement is allowed with intentional moderate force. Out of the box, this mount would have sagged like others complained, but I'm guessing its left slightly loose to help ease the installation process.

I won't hesitate to buy another one in the future if the need arises. An excellent price ($30) for a good quality mount. If you want a mount that you can do pull ups on after install, buy the Sanus (and pay 5x more to do it). If you want a mount that you can safely hang and secure your TV on, save some cash and buy this mount.",I'm sure this mount would handle either TV just fine. Is it the same quality as the Sanus,1464566400
29,5,,True,2016-05-02,A1DFPV1Q92V4A4,0972683275,,J. Fried,Sturdy and light holder.  Amazingly flexible.  Easy to install and hang  It comes with instruction sheets and every bolt needed.  I mounted it into a wood stud.  Highly recommended.  I bought a second one for an older LCD.  Be certain not to overload it.  The one drawback is that the TV plate might block some of the HDMI or other sockets.,Almost perfect wall mount for LED big screen.,1462147200
30,3,,True,2016-03-31,A3BYDQ6HMYUNPN,0972683275,,Joe User,"I initially bought a Mounting Dream mount, which was very solid and easy to install, but only had a 15"" extension. I needed a 24"" extension for a very tight corner, so I bought this one, but it doesn't seem quite as solid as the Mounting Dream mounts. Still, it gets the job done.",Not quite as solid as the Mounting Dream mounts...,1459382400
31,5,,True,2016-03-11,A3DMDHO2DM7TJH,0972683275,,Stan,Excellent mount with tons of different mounting options.  I used this to mount a fairly old (13 years) LCD TV in our home gym and was very concerned that the mounting brackets would not match up...I was wrong.  Because of the included extra parts and various configurations I was able to seamlessly wall mount our TV and position it perfectly in our gym.  GREAT product with simple straight forward instructions.,Excellent mount,1457654400
32,3,,True,2016-03-02,A2Q9X86UPYWAAX,0972683275,,Lauren E. Reese,"One of the bolts seems to come loose with side-to-side rotation. I'm keeping an eye on it now, but it was pretty significantly unscrewed when I first noticed, which was scary. It might be worth the money to buy one that is certified.",but it was pretty significantly unscrewed when I first noticed,1456876800
33,4,,True,2016-02-29,AKJYGZ7RRQA21,0972683275,,Amazon Customer,It attached to our tv without the extention arms.  It only took minutes to install. The hinges are really stiff so we will move the tv while holding the wall mount not the tv. We worry it will pull to much on the TV and possibly crack it.  Hopefully with use it will move easier.  It is very easy to attach to the TV and the wall.,Quick and easy to set up. This wall mount is a good price and it has 24 inch extention others only had 20 inch.,1456704000
34,5,,True,2016-02-12,A3QTEUV6NFD5QH,0972683275,,AmazondotBlonde,These are fantastic.  I purchased one because I had a new flatscreen and paid someone 60$ to install it.  After watching how fast he did it I purchased two more and hung the other two myself!  Please note I have ZERO skills.  This takes less than thirty minutes to hang and really moves smoothly.,These are fantastic. I purchased one because I had a new ...,1455235200
35,5,2.0,True,2016-02-08,AZ893EFRK003P,0972683275,,smooshy_mooshy,"My bedroom is set up so that my bed faces a window. I needed to mount my TV on the side wall and have it swing over so I can watch TV when I fall asleep. I was a little nervous about having my TV dangling off of one of these mounts. I've had it mounted (into a stud, of course) for about 2 years now with no problems. I'm still always nervous about it because the TV seems so heavy. Hopefully I did a good enough job installing the mount! I'll let you know if it ever stops working (aka falls!).",Great solution,1454889600
36,5,,True,2016-01-19,A3FJ0LNI22GBSB,0972683275,,Matthew Lamon,"Great for its long arm. I was able to turn my 50"" Vizio TV totally to the right (90 degrees). The edge of the TV was just barely touching the wall. Sturdy enough if you get the bolts in the center of a good stud or better yet into a 4x4 column.",Great for its long arm,1453161600
37,5,,True,2016-01-10,A3TSMIM1O7WMCU,0972683275,,EJ,"Any product by this company is a hit and well worth the purchase over the high prices for like items in shops like Target or BestBuy.  I have bought 9-10 VideoSecu products over the years and all are extremely well built, easy to install and easy to use.  I will only uy their products from now on for my TV and computer screen mounting needs.",VideoSecu value for money,1452384000
38,5,,True,2016-02-19,A1IQNA8WIN4N3E,1059998254,{'Color:': ' Black'},xPhoenixFalling,"Sweet little device enables you to use USB flash drives and hard drives with your Galaxy devices.  Be advised it does not send very much power over the connection, so some external hard drives may not function.","Very cool little adapter, opens up big possibilities for Galaxy owners!",1455840000
39,5,,True,2016-01-13,A8M98728AD0NT,1061861740,{'Color:': ' Black'},Viking Sailor,"Ordered this to use the THX Tune-Up app on my LG G3 phone for our new 4K tv.  Plugged it in, set HDMI input and followed the directions.  Cable worked great!  That is the only time I have used it so far, so cannot comment on longevity.  But for this purpose, it worked perfectly.",LG G3 link to 4K tv for THX Tune-up.  Worked great!,1452643200
40,5,,True,2018-02-28,AUGBCGUG05AH7,106171327X,,andy dubitsky,"was awesome untill it caught on fire,... probably cuz the raspberry pi caught on fire, .. there was a lot on fire.. always check the power supply before connecting devices,,.on a side note, raspberry pis will NOT handle 120v AC at either the input or USB.. trust me",id buy it again,1519776000
41,5,,True,2016-11-03,A1ODOD0ZY14M0X,1059844575,{'Color:': ' Black'},Persnickity,"Quality and build are excellent.  I bought it to try it on my LG Stylo but this phone will not recognize the device, it's the phone's fault, not the Slimport.  The Stylo just does not have video out through the USB.",A great item!,1478131200
42,4,,True,2016-08-23,A3V34U4GHFUBHS,1059844575,{'Color:': ' Black'},Darrel,"I bought this to use on my Android phone to cast to a monitor.  It is a little slow on the refresh to the monitor but not enough to keep me from working. or casting videos.  I am an IT person so I use to on external monitor with my phone when I connect remotely to my work.
The build quality could be better, if you move the HDMI cable it tends to drop the signal for a second, but if the phone is not moving around then you are good.",Good product but build quality could be a little better.,1471910400
43,5,,False,2017-05-05,A0273990TGLE0LLF0H0B,106171327X,,Marisol,"SanDisk brands are my favorite, never had any problems. They're guanteed. I am a power user, in photography, on my cellphone and to me ""external storage"" is important. I need a product that will not fail on me. The SanDisk Ultra lets you transfer large files at great speed. It does make a big difference, and to top it all, the price is phenomenally great. 5 stars in my book. Thank you.",Speed is important!,1493942400
44,1,,True,2016-06-19,A2PLH0M1QRU0YG,1059844575,{'Color:': ' Black'},Amazon Customer,Keeps cutting out... phone screen image on TV connects then goes blank after 10 or 15 seconds. Does not work at all when connected to USB power to prevent phone battery discharge. .  Tried to order 2 more from different seller in China.  Never received order and seller (yanzzshop) is slow in responding to inquiry for items never received,Poor Quality 1st order and now Poor service from yanzzshop,1466294400
45,5,10.0,True,2016-03-26,AHQ63IBAOCUC6,1059844575,{'Color:': ' Black'},javibarr,"I had given this item a 1 star and bad review because I wasn't giving any instructions of how it worked.  Now that I know how to properly use it I changed it to 5 stars.  The proper way to use it is #1 you need your phone charger to plug it in the small port of the slim port to give it power to display it on your TV.  This does not mean it will charge your phone at the same time too.  On some phone it will charge your device (G4). Now #2 this one is important, you have to put your phone on airplane mode in order not to lose connection from your device to your TV.  If you don't do this video from your phone to the TV will be cutting in and out all the time or won't display it at all.  On some phones it might work without using airplane mode.  But I know that on mine (G4) it won't work unless I put it on airplane mode. Thanks for reading and I hope you enjoy your product!!.. I was pretty close to throwing mine away in frustration. Glad I did not!",If you want it to work properly Read This!!,1458950400
46,5,4.0,True,2016-03-17,A21JOU9DTCR6WS,1059844575,{'Color:': ' Black'},Daniel Baker,"Works just fine for LG G4.
I think it should work well for other Androids too, don't know why not.
USB Connection is standard Android.  I don't know if LG puts out a unique signal that requires this.
If I get a chance to learn how it is with others, I may come back to this.
Of course you need a standard HDMI cable to plug into it.",Works just fine for LG G4.,1458172800
47,1,3.0,True,2017-01-26,A32H8T972W8Q39,106171327X,,Angelica Garcia,"Not the one we ordered exactly but ill still take it because its still the correct gb. Not sure if it'll be better or not but ill be giving it a try.

Update: I have to return the item because it doesn't work for go pro. I get SD Err. I tried multiple times and it's pretty easy inserting a ad card into a go pro so it's definitely the cards fault.  I took it with me on a 4 day trip and wasn't able to get any videos with my go pro of all the hikes I went on. There was no electronic stores near where I traveled, so I wasted my time ordering this card. I recommend you don't waste yours.",Not the exact one i ordered... and it doesn't work.,1485388800
48,5,,True,2016-01-29,ACTIBHXU6Y08K,1059844575,{'Color:': ' Black'},Dave,"We've been using this for about six months now without any problems. It's REALLY handy for when your vacation plans get a last-minute change due to weather! Just connect an HDMI cable to the hotel's TV, fire up your Netflix / Prime Video app, and away you go!",Great for traveling,1454025600
49,5,2.0,True,2016-09-06,A26TWEWE7X9WIS,106171327X,,Geeky Grandma,"This fit perfectly in my Motorola Droid Maxx2. I'm able to save data to it without any problems (you will need to set your phone to store data on the SD card  instead of the internal storage on the phone itself). So far, no problems or issues - it just worked OK right from the start. Will post an update if I have any issues with it.  Just remember that what you can store on the card will be determined by the app you're trying to download,  your phone's OS and the phone itself.",Works great,1473120000
50,5,5.0,True,2016-08-27,A1TU0QYBBU2L9Q,106171327X,,Kyrtin Atreides,"I've been using this for over 6 months now, without a single issue to report.  SanDisk is one of the staple brands that offers these memory cards, and has for many years, because although they might not offer the top 1% in quality, they offer more per dollar spent on their products than the products that might outperform them.

These are simply a good staple for memory cards, with a long average product lifespan.",The staple memory cards that last,1472256000
51,5,7.0,True,2016-04-03,ADVSVTUY8G9T6,106171327X,,Bea Nu,I use this for my Group Pro Hero 4 Silver. It can hold over 2 hours of video on a high setting. This is way cheaper than any retail store so don't get fooled into paying triple the cost! At this price get two especially if you have more than one battery.,Great for a Go Pro,1459641600
52,5,,True,2016-01-26,A37WCT4AS2MX1L,1254875778,,Michael C.,"I had an ATOM D2700 CPU desktop, it used to be my firewall for home.  And adding this memory in there, really boosted some power from the original 1GB to 3GB now.

I guess for a small fee, it really does help with the situation.","I had an ATOM D2700 CPU desktop, it used ...",1453766400
53,4,,False,2016-11-15,A3M3FG82ZE1J8I,140053271X,,Ed N,"If you want a top-line ereader, go with one of the Kindle ereaders.  However, if just a basic ereader will do, get a Nook Simple Touch. It's quite cheap now, plus it can last a long time between battery charges.  I've had a Nook ST for 3+ years, and it can get pretty close to a month between charges, depending on level of use.  Screen resolution is less than on more modern Kindle readers, and it is NOT back-lit, but otherwise, the Nook ST should handle all your basic ereading needs.  It is completely readable even in direct sunlight.  It's light and durable.  I have mine in a soft case to give it extra protection from accidental drops.

The best thing about the Nook is that it is rootable.  It only uses Android 2.1, so functionality is obviously limited, but once rooted, it can still read all Nook ebooks, plus you can install the Kindle app on it to read Kindle ebooks as well!  That's the best of both worlds, if you have separate books on your Nook or Amazon accounts and want to combine them all together in one device.  You can use a rooted Nook to access the internet via wifi, but keep in mind it uses e-ink, so it will be sluggish, even with Opera Browser installed.  Better to just use the Nook for reading books.",The Nook Simple Touch is a great e-reader for basic reading needs!,1479168000
54,5,,False,2016-09-26,A1HY21Y2PMW2VY,140053271X,,BH,"I've had one of these for years now and love it. Got mine for only $39 right around the holidays on sale, so worth it. I have a Nook Color which is great but because of the glare I needed something to take to the beach/pool without any glare issues. This works perfectly just like a real book in the sun, you'll feel as if you are looking at a paper page. I'll get down to the pros/cons.
Pros: lightweight, small, simple, holds hundreds of books, only needs a charge 1-2x month, you can create shelves with books of your choosing.
Cons: only wifi capable, it is simply a reader for books (not great for magazines or anything in color), no web, checking emails, surfing, games etc.

This will work well for someone who simply wants to read, no frills. For me it's perfect. If you want more, get a tablet.
p.s if you like to read at night, get a book light or use the lamp old school style.","Awesome and simple E-reader, No flare",1474848000
55,5,14.0,True,2016-09-24,A2US0NOQJ64KS,140053271X,,Huels,"I was going to deploy to my third deployment to Iraq in 2011 and I wanted some way to read all my books. As you may know, space is precious when you're talking about military gear. We were very strict on what we could or could not bring on the deployment. Also I need something that could go a long time on a single charge. None of the full tablets were going to cut it and than I discovered the paper white. It claims that you can go several weeks on a single charge (or was it months) I can't remember since it's been son long. There were times on my last deployments where we went almost a month without any electricity. After a successful deployment I can defiantly say that this nook proved it was up to the task. I don't think I charged it more than twice and the second charge was just because I had the time and means. The tablet was also very well built. As you may know, Iraq has lots of sand. There were even a few times where I dropped the tablet in the sand. The device kept on trucking and did not give up.

After my deployment I put it away in a drawer and forgot about it until I discovered it after I recently moved to my new town house. I would recommend this for anyone who want's a cheaper tablet for reading and does not mind not having sound or video. I currently have the finances and the means to get a much fancier and expensive tablet but I still love using my paper white. I do a lot of reading in the evening and I like how my eyes don't get strained from looking at a lit screen. I'm the type of person who can sit down and read for hours and hours.",My story as a US soldier on a deployment,1474675200
56,2,4.0,True,2016-01-28,A4DB2FNAM7D5J,140053271X,,Purple bicycle,"This is replacing my Nook first edition (which in my opinion, is the best version by far) and while I like the size and feel of it, the operation leaves something to be desired. Page turns are not instantaneous and there is a weird, albeit brief flash of the screen every time I change pages. The page turn is actually faster on my first edition. I was also having issues with some books where I received an error when I tried to turn the page, almost like the page didn't exist. I would have to reset my nook, used the ""Go To"" function to skip to the page AFTER the one I wanted to read, and then go back a page just to pick up where I left off. And BN customer service is completely unhelpful when it comes to their slightly older e-readers, because everybody wants you to upgrade to their newest tablet editions with backlit screens. If I wanted to read books on a tablet, I would do that, but what I want is an e-ink ereader specifically for reading books. I have been a nook fan since the beginning and I still totally am. I really want to love this, but until BN works out their software issues, I just can't.",Really wanted to love this.,1453939200
57,4,,True,2016-07-26,A1W3ZMIQ4OFZ3N,1400699169,,TOM BENAWAY,Arrived promptly and in sealed box. Has a lot of nice features. Nice screen with ample adjustments. One drawback is that yahoo mail apps will not work on this system. The charging system only works with wall plugin will not charge thru USB port will have to buy car charger.  All kinds of apps available in google play. It streams movies well and volume is good.,Has a lot of nice features. Nice screen with ample adjustments,1469491200
58,5,7.0,True,2016-09-13,A3SZFN52D3NSWE,1400501717,,Gor-D,"Great price!  Super fast shipping!  Had trouble getting this to play nice with my wifi so it kept getting stuck registering with B&N initially.  Until I googled how to bypass that.  I ran it wifi free and leave it off so now now book suggestions or wifi battery drain.  Poppes a $12 Samsung sd card (32gb) in the side and side loaded the crap out of it.  I have 1400 books on here and I still have about 25gb free.  Uses Android chargers, fits in my side ABU pocket, battery lasts for DAYS, glowlight is amazing...we have a newborn.  I can keep the light off in the bedroom and just use the glowlight while I'm rocking her.  I found these here for $35 refurbished....such a steal.  Bought one for me and my baby sister.","Bypass B&N Registration, works amazing!",1473724800
59,4,6.0,True,2016-07-04,A15NUTNW4WQKRN,1400501717,,Russ,"I am a loyal Nook user. When my Simple Touch would no longer hold a charge, I searched and found this one. It was new in original packaging. It is my favorite ebook reader for many reasons: external storage, not back lit, fast page refresh, many font options, sharp e-ink display. I especially like that my side loaded files are read and displayed exactly as I have them on the SD card with easy access. Nook has continued to 'screw the pooch' with their readers ever since this one. I don't know what I'll do when these are all extinct. My only complaint, therefore the loss of one star, is the price. I paid out of desperation! Maybe we'll all get lucky and Nook will get it right next time. Bahaha!",It is my favorite ebook reader for many reasons,1467590400
60,5,,True,2016-01-27,ANIFG5MI754WV,1400501717,,Kim S,"I love the Nook, so sad that they aren't doing well. I think the E-ink is great, I can't stand reading on my ipad, the blue light sucks. I think this glow is nice and soft enough to read before bed. The switching between pages does get a little jarring to most people. I got use to it.",Nook Book fan,1453852800
61,1,3.0,False,2017-02-19,A1Z9EANX72A8EX,1444700650,{'Format:': ' Kindle Edition'},TKandKK,From the very first chapter Jack Nightingale is a complete idiot and the writer is oblivious. First chapter jack is supposed to save a little girl so instead of doing that he spends half an hour talking to the au pair which is a complete waste of his time and then on his way into the building he starts having berating an old man who is telling him to get his butt in the building and save the girl but instead Jack Nightingale has a long berating session at this poor old fella. Maybe if he'd gone up instead of smoking cigarettes and yelling at these characters he might have saved the girl and this pathetic excuse for a book would never have cost me any money. Honestly. This is one of the worst excuses for a book I've ever seen.,Ridiculous,1487462400
