,title,Mean,Count
26,Canon EF 70-200mm f/4L USM Telephoto Zoom Lens for Canon SLR Cameras,5.0,16.0
27,"Case Logic CDE-48 48 Capacity Heavy Duty CD Wallet, Black",5.0,16.0
28,Cat 6 Ethernet Cable 5ft (6 Pack) (at a Cat5e Price but Higher Bandwidth) Flat Internet Network Cables - Cat6 Ethernet Patch Cable Short - Black Computer LAN Cable with Snagless RJ45 Connectors,5.0,16.0
29,HDMI Cable 3ft - HDMI 2.0 (4K @ 60Hz) Ready - 28AWG Braided Cord - High Speed 18Gbps - Gold Plated Connectors - Ethernet / Audio Return - Video 2160p HD 1080p 3D - Xbox PlayStation PS3 PS4 PC Apple TV,5.0,16.0
30,Logitech - M325c Wireless Optical Mouse - Red Harlequin,5.0,16.0
31,Logitech M325c Wrls Mouse Zigzag Red,5.0,16.0
32,Nikon 7239 Action 7x50 EX Extreme All-Terain Binocular,5.0,16.0
33,PortaPow 3rd Gen Data Blocker,5.0,16.0
34,StarTech.com 6ft Standard Computer Power Cord - NEMA5-15P to C13 - PXT101,5.0,16.0
35,"TP-Link 10/100/1000Mbps Gigabit PCI Network Adapter/Card, Includes Low-profile Bracket (TG-3269)",5.0,16.0
36,"Tripp Lite DVI Dual Link Cable, Digital TMDS Monitor Cable (DVI-D M/M) 10-ft.(P560-010)",5.0,16.0
37,"67mm Altura Photo UV Ultraviolet Lens Protection Filter for CANON REBEL T6i T6 T5i T5 T4i T3i T3 T2i, EOS 700D 650D 600D 550D 70D 60D 7D 6D DSLR Cameras with 18-135mm EF-S IS STM Lens",5.0,15.0
38,Samsung 850 EVO V-NAND 1TB Solid State Drive mSATA (MZ-M5E1T0),5.0,15.0
39,TEAC CD-P650-B Compact Disc Player with USB and iPod Digital Interface (Black),5.0,15.0
40,"Mounting Dream Full Motion TV Mount for 26-55 Inches TVs, TV Bracket Kit Includes Stud Finder &amp; 2 HDMI Cables, TV Wall Mount Bracket up to VESA 400x400mm and 60lbs loading, MD2377-KT",5.0,14.0
41,"iMah BT184342/BT284342 BT18433/BT28433 Phone Battery Compatible AT&amp;T BT184342 BT18433 BT1011 BT1018 BT1022 BT1031 BT8300 CS6209 CS6219 CS6228 CS6229 Vtech DS6301 CL80109 CS6209 TL90078, Pack of 2",5.0,14.0
42,"EVGA SuperNOVA 1000 P2, 80+ PLATINUM 1000W, Fully Modular, EVGA ECO Mode, 10 Year Warranty, Includes FREE Power On Self Tester, Power Supply 220-P2-1000-XR",5.0,13.0
43,Mediabridge Banana Plugs - Corrosion-Resistant 24K Gold-Plated Connectors - 7 Pair/14 Banana Plugs (Part# SPC-BP2-7),5.0,13.0
44,StarTech.com RK12OD Startech 12U 19-Inch Desktop Open Frame 2 Post Rack,5.0,13.0
45,"WEme Micro USB 2.0 OTG Adapter, Micro B Male to USB A Female On The Go Converter for Samsung I9250 9100 9220 P7500 P7510 P7310 P7300 S3 I9100 I9103 I997, N7100, LT261 XT910, NEXUS 7 &amp; Nokia 810, Black",5.0,13.0
46,"ARCHEER Solar Power Portable Bluetooth 4.2 Speaker IPX6 Waterproof Outdoor Speakers with 1/4 Bike Mount Screw Hole and Lanyard, 20hrs Playtime, Enhanced Bass, Built in Mic, Rugged Protected",5.0,12.0
47,Adapter for An X1 Projector,5.0,12.0
48,B+W 82mm ND 0.6-4X with Single Coating (102),5.0,12.0
49,"BIC America Venturi DV84 2-Way Tower Speaker, Black (Single)",5.0,12.0
50,"Belkin (F3U133b10) Hi-Speed USB A/B Cable, USB Type-A and USB Type-B (10 Feet)",5.0,12.0
51,Belkin Gold Series 6-Foot USB A to B Cable; 20/28 AWG; DSTP,5.0,12.0
52,CHANNEL PLUS 2532 2-Way Splitter/Combiner CHANNEL PLUS 2532,5.0,12.0
53,Canon EF 12 II Extension Tube For EOS Digital Cameras,5.0,12.0
54,Canon EF 24mm f/2.8 Wide Angle Lens for Canon SLR Cameras (Discontinued by Manufacturer),5.0,12.0
55,Canon EF 28mm f/1.8 USM Wide Angle Lens for Canon SLR Cameras,5.0,12.0
56,Canon ET65III Lens Hood for Canon SLR Lens,5.0,12.0
57,Cyber Acoustics CA-3550 2.1 Computer Speaker System- Black - CA-3550RB,5.0,12.0
58,EasyAcc 2600mah Battery Handheld Fan Portable Battery Operated USB Fan Mini Personal Fan Outdoor Electric Fan with Rechargeable LG 2600mAh Battery Adjustable 3 Speeds Foldable Home and Travel -Black,5.0,12.0
59,"Fujifilm instax Wide Instant Film, 20 Exposures, White, Old Packaging",5.0,12.0
60,Fujinon Techno Stabi TS1440-14x40 Image Stabilization Binocular,5.0,12.0
61,"GearIT 20 Pack, Cat 6 Ethernet Cable Cat6 Snagless Patch 1 Foot - Computer LAN Network Cord, Purple",5.0,12.0
62,Hosa GMM-303 3.5mm TRS to 3.5mm TRS Coupler,5.0,12.0
63,"Hosa IRG-101 Low-Profile Right Angle Guitar Patch Cable, 1 Feet",5.0,12.0
64,"Intel Core i7-5820K Desktop Processor (6-Cores, 3.3GHz, 15MB Cache, Hyper-Threading Technology)",5.0,12.0
65,"Kensington SmartSockets 6-Outlet, 16-Foot Cord, &amp; 1500 Joules Tabletop Surge Protector (K62634NA)",5.0,12.0
66,"Legrand - Wiremold CDG-15 Corduct Overfloor Cord Protector- Rubber Duct Floor Cord Cover, Gray (15 Feet)",5.0,12.0
67,Logitech Z-2300 THX-Certified 2.1 Speaker System with Subwoofer,5.0,12.0
68,Metra 70-1721 Wiring Harness for 1998-2005 Acura/Suzuki/Honda Vehicles,5.0,12.0
69,"Monster MSP SPSTR HOT BT WHCR WW Superstar Hotshot Portable Bluetooth Speaker, White/Chrome",5.0,12.0
70,Nikon 85mm f/1.4D AF Nikkor Lens for Nikon Digital SLR Cameras - White Box(Bulk Packaging) (New),5.0,12.0
71,Orion 9024 AstroView 90mm Equatorial Refractor Telescope,5.0,12.0
72,Pelican 1400 Case With Foam (Black),5.0,12.0
73,Planet Waves 1/4 Inch Female Stereo Coupler,5.0,12.0
74,"SLIK Universal Large Tripod Bag for Tripods up to 30"", Black",5.0,12.0
75,"SLIK Universal Medium Tripod Bag for Tripods up to 23"", Black",5.0,12.0
76,"TRENDnet 48-Port 10/100 Mbps Web Smart Switch, Gigabit Uplink Ports, SFP, 17.6 Gbps Switching Capacity, Fanless, Rack Mountable, Lifetime Protection, TEG-2248WS",5.0,12.0
77,The Friendly Swede Bundle of 6 Micro-Knit Hybrid Fiber Tip Universal Capacitive Stylus Pens,5.0,12.0
78,"Tripp Lite 7 Outlet Surge Protector Power Strip, 6ft Cord, Right-Angle Plug, Tel/Modem/Coax Protection, &amp; $100,000 INSURANCE (HT706TSAT)",5.0,12.0
79,"Verbatim CD/DVD Color TRIMpak Cases - 10pk, Assorted",5.0,12.0
80,Belkin Thunderbolt 3 Usb Type-C Cable - Featuring Usb-C To Usb-C End Connections On 3 Foot/1 Meter Long Thunderbolt 3 Cable - 20 Gbps Data Transfer Speed - Usb 3.1 Compatible 10GB/s (F2CD081bt1M-BLK),5.0,11.0
81,DIRECTV Broadband Deca Ethernet to Coax Adapter - Generation II (2 Pack),5.0,11.0
82,"Digital Audio Cable (6 Feet) - TOSLINK Fiber Optic (S/PDIF, ADAT, EIAJ) - Braided Cord - JIS F05 Male to Male Connectors - Optical Cable for Perfect Dolby TrueHD Digital &amp; DTS Surround Sound",5.0,11.0
83,LG 34UC88-B 34-Inch 21:9 Curved UltraWide QHD IPS Monitor with USB Quick Charge,5.0,11.0
84,"Neewer Rubber-coated Metal Camera Lens Filter Remover Wrench Set Kit(Package of Two), Fit 67mm,72mm Lens Thread for Canon,Nikon,Sony,Pentax,Fujifilm,Olympus,Panasonic and other DSLR Cameras",5.0,11.0
85,Nikon D3200 24.2 MP CMOS Digital SLR with 18-55mm f/3.5-5.6 Auto Focus-S DX VR NIKKOR Zoom Lens (Black) (OLD MODEL),5.0,11.0
86,"Noctua NH-L9x65, 65mm Premium Low-Profile CPU Cooler (Brown)",5.0,11.0
87,Noctua NH-U14S - Premium CPU Cooler with NF-A15 140mm Fan (Brown),5.0,11.0
88,Pentax K-1 Full Frame DSLR Camera (Body Only),5.0,11.0
89,"Progo Wired Remote Shutter Release Control RS-60E3 Replacement For Canon Rebel T6i, T6S, T5 T5i T4i T3i T3 T2i T1i XT XTi XSi, EOS 700D 650D 600D 550D 500D 1100D 60D 70D, PowerShot G16 G15 G12 G11 G10 G1 X, Model: , Electronic Store",5.0,11.0
90,"SanDisk Extreme 128GB U3/UHS-I SDXC with 4K Ultra HD, up to 80MB/s Read; 60MB/s Write- SDSDXN-128G-G46 [Older Version]",5.0,11.0
91,SanDisk Extreme PRO 64GB Compact Flash Memory Card UDMA 7 Speed Up To 160MB/s- SDCFXPS-064G-X46 (Label May Change),5.0,11.0
92,"iPad Pro Case, LUVVITT Clear Grip Flexible Soft Transparent TPU Rubber Back Cover for iPad Pro 12.9 (2015) Air Bounce Shockproof Technology - Clear",5.0,11.0
93,AmazonBasics USB 2.0 Cable - A-Male to Mini-B - 3 Feet (0.9 Meters),5.0,10.0
94,"Aoitun AK-848061072518 Ear Hooks and Covers Accessories Compatible with Apple Air pods or Ear Pods Headphones/Earphones/Earbuds One Pair, 3.3', White",5.0,10.0
95,"Ape Case, ACPRO2000, Large backpack, Laptop compartment, Padded, Rain cover included, Adjustable straps, Camera Backpack, Equipment bag, Black (ACPRO2000)",5.0,10.0
96,"Apple MFi Certified Lightning Cable - Skiva USBLink Braided (3.2 ft / 1m) Sync and Charge 8-pin Cable for iPhone X 8 8Plus 7 6 6s Plus 5s SE, iPad Pro Air Mini, iPod Touch Nano (Black) [Model:CB124]",5.0,10.0
97,Audio-Technica ATH-M40x Professional Studio Monitor Headphones + Slappa Full Sized HardBody PRO Headphone Case (SL-HP-07),5.0,10.0
98,Aurum Ultra Series - High Speed HDMI Cable (30 Ft) With Ethernet - Supports 3D &amp; Audio Return Channel [Latest Version] - 30 Feet,5.0,10.0
99,Canon EOS 7D Mark II Digital SLR Camera with 18-135mm IS STM Lens,5.0,10.0
100,"Canon EOS 80D DSLR Camera Body w/Advanced Photo &amp; Travel Bundle - Includes: Altura Photo Backpack, SanDisk 64gb SD Card, Monopod, Neck Strap and Cleaning Kit",5.0,10.0
101,"Comcast/Xfinity XR11 Premium Voice Activated Cable TV Backlit Remote Control - Compatible with HD DVR Including Motorola, X1 &amp; X2 IR &amp; RF Aim Anywhere",5.0,10.0
102,Crucial 16GB Kit (8GBx2) DDR3/DDR3L 1333 MT/s (PC3-10600) SODIMM 204-Pin Memory For Mac - CT2K8G3S1339M,5.0,10.0
103,Fluance SXBP High Definition Bipolar Surround Sound Wide Dispersion Speakers for Home Theater,5.0,10.0
104,"Jabra Speak  PHS001U 410 USB Speakerphone for Skype and other VoIP calls (U.S. Retail Packaging), Black",5.0,10.0
105,KabelDirekt (6 feet) Mini TOSLINK Optical Digital Audio Cable - PRO Series,5.0,10.0
106,Klipsch Sub-12HG Synergy Series 12-Inch 300-Watt Subwoofer with High Gloss Trim (Black) (Discontinued by Manufacturer),5.0,10.0
107,Noctua SSO Bearing Fan Retail Cooling NF-S12B redux-1200 PWM,5.0,10.0
108,"Polk Audio RTI A1 Bookshelf Speakers (Pair, Black)",5.0,10.0
109,RAVPower Lightning Cable Apple MFi Certified 3ft 0.9m Lightning to USB Cable for iPhone 6S 6 Plus 6 5S 5C 5 iPad Air Mini iPad 4th gen iPod Touch 5th gen and iPod Nano 7th gen (Blue),5.0,10.0
110,"Rantopad MXX Mechanical Gaming Keyboard - 87 Keys,White Backlit, Blue Switches, Blue Aluminum Cover, N-Key Rollover",5.0,10.0
111,Sony Studio Monitor MDR-V600 Stereo Headphone (Discontinued by Manufacturer),5.0,10.0
112,"Cat 6 Ethernet Cable 50 ft White - Flat Internet Network Lan patch cords &ndash; Solid Cat6 High Speed Computer wire With clips&amp; Snagless Rj45 Connectors for Router, modem &ndash; faster than Cat5e/Cat5 - 50 feet",4.964285714285714,28.0
113,Amazon 5ft USB to Micro-USB Cable (designed for use with Fire tablets and Kindle E-readers),4.956521739130435,23.0
114,"Lightning to 3.5 mm Headphone Jack Adapter With Charger, 2 in 1 Lightning Headphone Jack and Charger Adapter",4.9523809523809526,21.0
115,"The AquaAudio8482; Cubo &ndash; Waterproof Bluetooth Wireless Speaker with Strong Suction Cup for Showers, Bathroom, Pool, Boat, Car, Beach, Outdoor etc. / Optimized Buttons for Easy Control / Amazingly Powerful &amp; Crystal Clear Sound / Compatible with All Devices with Bluetooth Capability + Siri Compatible - 10 hours Playtime Rechargeable Battery / with Built-in Mic for use as a Powerful Hands-free Speakerphone [100% SATISFACTION GUARANTEE - WE GUARANTEE YOU WILL LOVE IT!] (Blue)",4.9523809523809526,21.0
116,Mediabridge Banana Plugs - Corrosion-Resistant 24K Gold-Plated Connectors - 12 Pair/24 Banana Plugs (Part# SPC-BP2-12),4.947368421052632,19.0
117,"Portable Outdoor and Shower Bluetooth 4.1 Speaker by AYL SoundFit, Water Resistant, Wireless with 10 Hour Rechargeable Battery Life, Powerful Audio Driver, Pairs with All Bluetooth Device (Ocean Blue)",4.947368421052632,19.0
118,"Tech Armor iPad Pro 9.7-inch (2016/2017) Glass Screen Protector, Premium Ballistic Glass Apple iPad Pro 9.7-inch Screen Protectors [1]",4.944444444444445,18.0
119,"Mediabridge Ethernet Cable (100 Feet) - Supports Cat6 / Cat5e / Cat5 Standards, 550MHz, 10Gbps - RJ45 Computer Networking Cord (Part# 31-399-100B)",4.942857142857143,35.0
120,Crucial 16GB Kit (8GBx2) DDR4 2400 MT/s (PC4-19200) DR x8 SODIMM 260-Pin Memory - CT2K8G4SFD824A,4.9411764705882355,17.0
121,Gigabyte Graphics Cards GV-N75TOC-2GL,4.9411764705882355,17.0
122,Sigma 150-600mm 5-6.3 Contemporary DG OS HSM Lens for Canon DSLR Cameras w/Sigma USB Dock &amp; Advanced Photo and Travel Bundle,4.9411764705882355,17.0
123,Kingston Digital 16 GB Class 4 microSDHC Flash Card with SD Adapter (SDC4/16GBET),4.9375,16.0
124,Rockford Fosgate R250X1 Prime 1-Channel Mono Block Amplifier,4.9375,16.0
125,"USB Numeric Keypad, Jelly Comb N001 Portable Slim Mini Number Pad for Laptop Desktop Computer PC, Full Size 19 Key, Big Print Letters - Black",4.9375,16.0
126,"ARCTIC MX-2 - Thermal Compound Paste, Carbon Based High Performance, Heatsink Paste, Thermal Compound CPU for All Coolers, Thermal Interface Material - 4 Grams",4.936507936507937,63.0
127,Elegoo EL-CB-001 UNO R3 Board ATmega328P ATMEGA16U2 with USB Cable for Arduino,4.933333333333334,15.0
128,ICE 77mm ND1000 Filter Neutral Density ND 1000 77 10 Stop Optical Glass,4.933333333333334,15.0
129,"MOSISO PU Leather Case Only Compatible MacBook Air 13 Inch A1466/A1369 (Older Version Release 2010-2017), Premium Quality Book Folio Protective Stand Cover Sleeve, Black",4.933333333333334,15.0
130,Sabrent 2.5&rdquo; SSD &amp; SATA Hard Drive to Desktop 3.5&rdquo; SATA Bay Converter Mounting Kit (BK-PCBS),4.933333333333334,15.0
131,Tech Armor 120 ML Pro Cleaning Kit with ExtraMove Formula and Cleansing Wipes,4.933333333333334,15.0
132,"Klipsch R-14M 4-Inch Reference Bookshelf Speakers (Pair, Black)",4.928571428571429,14.0
133,Polk Audio Monitor 70 Series II Floorstanding Speaker,4.928571428571429,14.0
134,"UGREEN 3.5mm Audio Stereo Y Splitter Extension Cable 3.5mm Male to 2 Port 3.5mm Female for Earphone, Headset Splitter Adapter, Compatible for iPhone, Samsung, LG, Tablets, MP3 players, Metal Black",4.928571428571429,14.0
135,"BlueRigger Rugged High Speed HDMI Cable - 15 Feet (4.5 M) - Nylon Braided - Supports 4K, Ultra HD, 3D, 1080p, Ethernet and Audio Return (Latest Standard)",4.923076923076923,52.0
136,"Anker Powerline 6ft Lightning Cable, MFi Certified for iPhone Xs/XS Max/XR/X / 8/8 Plus / 7/7 Plus / 6/6 Plus / 5s / iPad, and More (Space Gray)",4.923076923076923,13.0
137,Esynic USB Floppy Drive 3.5&quot; USB External Floppy Disk Drive Portable 1.44 MB FDD USB Drive Plug and Play for PC Windows 10 7 8 Windows XP Vista Mac Black,4.923076923076923,13.0
138,Intel Core i5-4690K Processor 3.5 LGA 1150 BX80646I54690K,4.923076923076923,13.0
139,"Microfiber Cloth, Magicpro Microfiber Cleaning Cloths - For All LCD Screens, Eyeglasses, Sunglasses, Tablets, Lenses, and Other Delicate Surfaces 6&quot;x7&quot;",4.923076923076923,13.0
140,Samsung UN48JU6400 48-Inch 4K Ultra HD Smart LED TV (2015 Model),4.923076923076923,13.0
141,UGREEN 3.5mm to 2RCA Audio Auxiliary Stereo Y Splitter Cable (15ft),4.923076923076923,13.0
142,"[Ultra-Slim] iXCC 4 Feet Male to Male 3.5mm Universal Aux Audio Stereo Cable Cord for Car and All 3.5mm-Enabled Devices, Apple, Samsung, Android, Windows and MP3 Player",4.923076923076923,13.0
143,StarTech.com 2 Port DVI Video Splitter with Audio - DVI Splitter with Audio - 2 Port DVI Splitter - DVI Video Splitter,4.916666666666667,48.0
144,"AUKEY Lightning Cable, 3.95ft Nylon Braided [Apple MFi Certified] for iPhone 7, 7 Plus, 6, 6S, 6 Plus, iPad Pro and More",4.916666666666667,12.0
145,AmazonBasics HDMI to DVI Adapter Cable - 6 Feet (1.8 Meters),4.916666666666667,12.0
146,Canon EF-S 55-250mm F4-5.6 is STM Lens for Canon SLR Cameras (Certified Refurbished),4.916666666666667,12.0
147,"Canon EOS 80D Digital SLR Camera Kit, EF-S 18-135mm f/3.5-5.6 Image Stabilization USM Lens, Sandisk 64GB Memory Card, Flash, Filters and Accessory Bundle",4.916666666666667,12.0
148,Crucial 4GB Single DDR3L 1600 MT/s (PC3L-12800)  Unbuffered UDIMM  Memory CT51264BD160B,4.916666666666667,12.0
149,Olympus OM-D E-M10 Mirrorless Digital Camera with 14-42mm 2RK lens (Silver),4.916666666666667,12.0
150,Parent tv mount (40&quot;-75&quot; (2016)),4.916666666666667,12.0
151,Sony BC-TRW W Series Battery Charger,4.916666666666667,12.0
152,Tokina AT-X 100mm f/2.8 PRO D Macro Lens for Nikon Auto Focus Digital and Film Cameras - Fixed,4.916666666666667,12.0
153,"iPad 4 Case, SUPCASE [Heavy Duty] Apple iPad Case [Unicorn Beetle PRO Series] Full-Body Rugged Hybrid Protective Case Cover with Screen Protector for The New iPad 3rd and 4th Generation(Black/Black)",4.916666666666667,12.0
154,inStream Micro USB Cable Set Pack of 5 - Data Sync / Charge - White - 2 Year Warranty,4.916666666666667,12.0
155,"(2 Trigger Pack) Altura Photo Wireless Flash Trigger for Canon w/Remote Shutter (Canon EOS 80D, 77D, 70D, 60D, Rebel T7i, T6i, T6, T5i, T5, T4i, T3i, T3, SL1, SL2 DSLR Cameras)",4.909090909090909,11.0
156,"3.5mm Male to Male Aux Cord, iXCC 3Feet Auxiliary Audio Cable for Car, Apple, Samsung, Android, Windows and MP3 Player, All 3.5mm-Enabled Devices",4.909090909090909,11.0
157,Anker Powerline+ Lightning Cable (1ft) Durable and Fast Charging Cable [Double Braided Nylon] for iPhone Xs/XS Max/XR/X / 8/8 Plus / 7/7 Plus / 6/6 Plus / 5s / iPad and More (Red),4.909090909090909,11.0
158,Canon EOS Rebel T5 Digital SLR Camera + canon EF-S 18-55mm f/3.5-5.6 IS &amp; EF 75-300mm f/4-5.6 III Lens + 58mm 2x Lens + Wide Angle Lens + Auto Power Flash + UV Filter Kit +24GB Deluxe Accessory Bundle,4.909090909090909,11.0
159,Klipsch RP-280F  Floorstanding Speaker - Ebony (Each),4.909090909090909,11.0
160,"Logitech B100 Corded Mouse &ndash; Wired USB Mouse for Computers and Laptops, for Right or Left Hand Use, Black",4.909090909090909,11.0
161,"MoKo Samsung Galaxy Tab A 10.1 Case - Slim Folding Cover with Auto Wake/Sleep for Samsung Galaxy Tab A 10.1&quot; 2016 Tablet (SM-T580 / SM-T585, No Pen Version), BLACK",4.909090909090909,11.0
162,"NetReset NR-1000US Smart Power Cycler for Modems and Routers supports Comcast XFINITY, Charter Spectrum, Time Warner Cable, Cox, BrightHouse, and More",4.909090909090909,11.0
163,Nikon D3300 DX-format DSLR Kit w/ 18-55mm DX VR II &amp; 55-200mm DX VR II Zoom Lenses and Case (Black),4.909090909090909,11.0
164,Pioneer TS-W3003D4 Champion Series Pro Subwoofer with Dual 4 ff Voice Coils and 2000W Max Power(one speaker),4.909090909090909,11.0
165,R-Tech DC12V 1A UL-Listed Switching Power Supply Adapter for CCTV - 5 Pack - Black,4.909090909090909,11.0
166,Samsung 64GB 95MB/s PRO Select Micro SDHC Memory Card (MB-MF64DA/AM),4.909090909090909,11.0
167,Teleprompter Without Case,4.909090909090909,11.0
168,V-MODA XL Cushions for Over-Ear Headphones - Black,4.909090909090909,11.0
169,"Wingspan Optics WideViews HD 8X42 Professional Binoculars for Bird Watching. Extra-Wide Field of View for the Brightest, Clearest Detail. Close Focus for Closer Views. HD Quality at an Affordable Price",4.909090909090909,11.0
170,ZOOM TELEPHONICS DOCSIS 3.0 5341-00-00J 343Mbps Cable Modem,4.909090909090909,11.0
171,Altura Photo Professional Cleaning Kit APS-C DSLR Cameras Sensor Cleaning Swabs with Carry Case,4.904761904761905,21.0
172,"Polk Audio CS10 Center Channel Speaker (Single, Black)",4.904761904761905,21.0
173,Uoobag Tigernu Series Business Laptop Backpack Slim Anti Theft Travel Computer Backpacks Environmentally Waterproof Laptops Bag For Men/Women 15.6Inch Black,4.903225806451613,31.0
174,AmazonBasics 14-Gauge Speaker Wire - 100 Feet,4.9,20.0
175,"Rankie HDMI Cable, High-Speed HDTV Cable, Supports Ethernet, 3D, 4K and Audio Return, 2 Pack, 6 Feet",4.9,20.0
176,Travel School Ultra Lightweight Backpack Laptop Waterproof Men Women Girls Boys,4.9,20.0
177,"2-Pack Amcrest ProHD 1080P WiFi/Wireless IP Security Camera IP2M-841 Pan/Tilt, 2-Way Audio, Optional Cloud Recording, Full HD 1080P 2MP, Super Wide 90&deg; Viewing Angle, Night Vision (White)",4.9,10.0
178,"4K Ultra HD HDMI Cable 6 Feet by MINC - High Speed HDMI 2.0 Supports 4K 60hz 4 4 4 hdr, Deep Color, 1080p 240hz, 3D 120hz, HDCP 2.2 and ARC - 26AWG",4.9,10.0
179,AMD Athlon X4 860K Black Edition CPU Quad Core FM2+ 3700Mhz 95W 4MB AD860KXBJABOX,4.9,10.0
180,"AUSDOM Dash Cam A261, 1080P&amp;1296P Car Cmera Dvr with GPS, G-Sensor ,WDR for Auto Record, 2 Inch View Screen Auto Car Dashboard Camera",4.9,10.0
181,AmazonBasics Convertible Rolling Camera Backpack,4.9,10.0
182,AmazonBasics USB 2.0 Cable - A-Male to B-Male - 10 Feet (3 Meters),4.9,10.0
183,"Apple ME277LL/A 8-inch iPad Mini 2 with Retina Display (1.30GHz     Dual-core Processor, 32GB GB Flash Memory, 1 GB RAM, Wi-Fi, iOS 7 Operating System) Space Gray",4.9,10.0
184,"Buhbo High Speed HDMI 2.0 Cable (3 Feet) for 4K Ultra HD, 3D Video, Ethernet/Audio Return - Gold Plated Connectors",4.9,10.0
185,Dimples Excel New Generation 1 x 5.5&quot; 14cm Stylus Pen with Ultra Slim 3mm Micro-Knit Hybrid Fiber Tip + 2 x Replacement Tips (1pc - Purple),4.9,10.0
186,ELAC (DF51-BK) - Debut F5 Tower Speakers (Each),4.9,10.0
187,"Golden State Art Acid free, Pack of 25 11x14 White Picture Mats Mattes with White Core Bevel Cut for 8x10 Photo + Backing + Bags",4.9,10.0
188,"Intel Boxed Core i7-6800K Processor (15M Cache, up to 3.60 GHz) FCLGA2011-3 (BX80671I76800K)",4.9,10.0
189,"KabelDirekt RCA Stereo Cable / Cord (10 ft / feet long, 1 RCA Male to 2 RCA Male Audio Cable, Digital &amp; Analogue, Double Shielded, PRO Series) supports (Subwoofers, Home Theater, Hi-Fi)",4.9,10.0
190,Komputerbay 4GB 2X 2GB DDR2 667MHz PC2-5300 PC2-5400 DDR2 667 (200 PIN) SODIMM Laptop Memory,4.9,10.0
191,"Lumsing Sata Cable - Lumsing USB 3.0 to SSD / 2.5-Inch SATA cable Hard Drive Adapter [Optimized For SSD, Support UASP SATA III]",4.9,10.0
192,Mediabridge ULTRA Series Subwoofer Cable (25 Feet) - Dual Shielded with Gold Plated RCA to RCA Connectors - Black,4.9,10.0
193,"MoKo Case for Kindle E-reader (8th Generation 2016) - The Thinnest and Lightest  Cover with Auto Wake/Sleep for Amazon Kindle (6 Display, 8th Gen 2016 Release), BLACK",4.9,10.0
194,Portable Mutifunctional Bluetooth Dual Channel Digital AM / FM Radio Speaker Wireless Speaker MP3 Music Player Support TF Card / USB Disk with LED Screen Display and Clock Function (L-288-Red),4.9,10.0
195,"Premium Lighting Adapter, Coursin Male to Charging Adapter Converter for Phone 7, 7 Plus, 6S, 6S Plus, 5S, 5C, Pad, Pod (White 2 Pack)",4.9,10.0
196,Samsung 850 EVO - 120GB - 2.5-Inch SATA III Internal SSD (MZ-75E120B/AM),4.9,10.0
